[2025-08-31 12:56:23] [INFO    ] discord.client: logging in using static token
[2025-08-31 12:56:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'AI Chat', 'primary_guild': None, 'mfa_enabled': False, 'id': '1411384061993156658', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5884', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '3e141c6dfa588c04962df5e62f07c511', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1411385875920584828'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'japan', 'dubai'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1411384061993156658', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-ww8t",{"micros":495673,"calls":["id_created",{"micros":431,"calls":[]},"session_lookup_time",{"micros":257,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-142",{"micros":493713,"calls":["start_session",{"micros":461580,"calls":["discord-api-rpc-6bbfb49fc7-hsrmn",{"micros":342698,"calls":["get_user",{"micros":7905},"get_guilds",{"micros":32323},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":11},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":38737},"apex_experiments",{"micros":60983},"user_activities",{"micros":10},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":8538,"calls":[]},"guilds_started",{"micros":71,"calls":[]},"lobbies_started",{"micros":2,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":23420,"calls":[]},"connect_finished",{"micros":23424,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":47,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-08-31 12:56:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-31 12:56:25] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 3e141c6dfa588c04962df5e62f07c511).
[2025-08-31 12:56:25] [DEBUG   ] discord.client: Dispatching event connect
[2025-08-31 12:56:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'home_header': None, 'incidents_data': None, 'voice_states': [{'user_id': '610380548841668612', 'suppress': False, 'session_id': '3075d0ae10b8b7945654a40ef8d3b749', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1411385877082538098'}], 'rules_channel_id': None, 'system_channel_flags': 0, 'profile': None, 'default_message_notifications': 0, 'splash': None, 'nsfw_level': 0, 'hub_type': None, 'afk_timeout': 300, 'member_count': 2, 'features': ['SOUNDBOARD'], 'lazy': True, 'unavailable': False, 'explicit_content_filter': 0, 'safety_alerts_channel_id': None, 'id': '1411385875920584828', 'verification_level': 0, 'owner_id': '610380548841668612', 'owner_configured_content_level': 0, 'system_channel_id': '1411385877082538097', 'name': 'test', 'emojis': [], 'inventory_settings': None, 'stickers': [], 'banner': None, 'soundboard_sounds': [], 'application_command_counts': {}, 'embedded_activities': [], 'threads': [], 'icon': None, 'large': False, 'description': None, 'guild_scheduled_events': [], 'public_updates_channel_id': None, 'mfa_level': 0, 'vanity_url_code': None, 'premium_features': None, 'activity_instances': [], 'latest_onboarding_question_id': None, 'channels': [{'version': 1756571015384, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Kênh Chat', 'id': '1411385877082538095', 'flags': 0}, {'version': 1756571015395, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Kênh đàm thoại', 'id': '1411385877082538096', 'flags': 0}, {'version': 1756571015416, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1411385877082538095', 'name': 'chung', 'last_message_id': '1411589684080939029', 'id': '1411385877082538097', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1756571015432, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1411385877082538096', 'name': 'Chung', 'last_message_id': None, 'id': '1411385877082538098', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'roles': [{'version': 1756571015369, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1411385875920584828', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1756571034718, 'unicode_emoji': None, 'tags': {'bot_id': '1411384061993156658'}, 'position': 1, 'permissions': '8', 'name': 'AI Chat', 'mentionable': False, 'managed': True, 'id': '1411385957957111990', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'stage_instances': [], 'premium_progress_bar_enabled': False, 'application_id': None, 'nsfw': False, 'premium_tier': 0, 'region': 'deprecated', 'joined_at': '2025-08-30T16:23:54.871000+00:00', 'premium_subscription_count': 0, 'max_members': 25000000, 'max_stage_video_channel_users': 50, 'moderator_reporting': None, 'presences': [], 'version': 1756616106712, 'max_video_channel_users': 25, 'afk_channel_id': None, 'members': [{'user': {'username': 'atula8322', 'public_flags': 0, 'primary_guild': {'tag': 'LOZ', 'identity_guild_id': '843809640592572416', 'identity_enabled': True, 'badge': '89b15f50a41eab81e0415f16a6ba46e3'}, 'id': '610380548841668612', 'global_name': 'Atula', 'display_name_styles': None, 'display_name': 'Atula', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1390436532988674091', 'expires_at': None, 'asset': 'a_5bda831ef9d78db54429b06e2ea268fa'}, 'avatar': 'a_6d82a578cef1b525add43ad59f43d309'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-30T16:23:35.241000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'AI Chat', 'public_flags': 0, 'primary_guild': None, 'id': '1411384061993156658', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5884', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1411385957957111990'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-30T16:23:54.871000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'atula8322', 'public_flags': 0, 'primary_guild': {'tag': 'LOZ', 'identity_guild_id': '843809640592572416', 'identity_enabled': True, 'badge': '89b15f50a41eab81e0415f16a6ba46e3'}, 'id': '610380548841668612', 'global_name': 'Atula', 'display_name_styles': None, 'display_name': 'Atula', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1390436532988674091', 'expires_at': None, 'asset': 'a_5bda831ef9d78db54429b06e2ea268fa'}, 'avatar': 'a_6d82a578cef1b525add43ad59f43d309'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-30T16:23:35.241000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'preferred_locale': 'en-US', 'discovery_splash': None}}
[2025-08-31 12:56:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-31 12:56:25] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-31 12:56:27] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-31 12:56:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 3, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-31T05:56:28.313000+00:00', 'pinned': False, 'nonce': '1411590443468062720', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-30T16:23:35.241000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1411590445598904433', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '$helps', 'components': [], 'channel_type': 0, 'channel_id': '1411385877082538097', 'author': {'username': 'atula8322', 'public_flags': 0, 'primary_guild': {'tag': 'LOZ', 'identity_guild_id': '843809640592572416', 'identity_enabled': True, 'badge': '89b15f50a41eab81e0415f16a6ba46e3'}, 'id': '610380548841668612', 'global_name': 'Atula', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'LOZ', 'identity_guild_id': '843809640592572416', 'identity_enabled': True, 'badge': '89b15f50a41eab81e0415f16a6ba46e3'}, 'avatar_decoration_data': {'sku_id': '1390436532988674091', 'expires_at': None, 'asset': 'a_5bda831ef9d78db54429b06e2ea268fa'}, 'avatar': 'a_6d82a578cef1b525add43ad59f43d309'}, 'attachments': [], 'guild_id': '1411385875920584828'}}
[2025-08-31 12:56:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-31 12:56:32] [DEBUG   ] discord.client: Dispatching event message
[2025-08-31 12:56:32] [DEBUG   ] discord.client: Dispatching event command
[2025-08-31 12:56:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-31T05:56:33.370000+00:00', 'pinned': False, 'nonce': '3558462271858111056', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1411385957957111990'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-30T16:23:54.871000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1411590466809495645', 'flags': 0, 'embeds': [{'type': 'rich', 'title': '🤖 Danh sách lệnh của Bot', 'id': '1411590466809495646', 'footer': {'text': 'Được yêu cầu bởi atula8322', 'proxy_icon_url': 'https://images-ext-1.discordapp.net/external/zDf8V_s_u8j-mUSjnCakoC6YGPRcOeXiUMl7TILw3So/%3Fsize%3D1024/https/cdn.discordapp.com/avatars/610380548841668612/a_6d82a578cef1b525add43ad59f43d309.gif', 'icon_url': 'https://cdn.discordapp.com/avatars/610380548841668612/a_6d82a578cef1b525add43ad59f43d309.gif?size=1024'}, 'fields': [{'value': '`$hello` - Chào hỏi\n`$helps` - Hiển thị danh sách lệnh này', 'name': '📝 Lệnh cơ bản', 'inline': False}, {'value': '`$start <câu hỏi>` - Hỏi AI', 'name': '🤖 Lệnh AI', 'inline': False}, {'value': '`$play <URL>` - Phát nhạc từ YouTube\n`$search <từ khóa>` - Tìm kiếm và phát nhạc\n`$audio` - Bot tham gia kênh thoại\n`$skip` - Bỏ qua bài hát hiện tại\n`$pause` - Tạm dừng bài hát\n`$resume` - Tiếp tục phát bài hát\n`$stop` - Dừng phát nhạc và xóa queue\n`$queue` - Hiển thị danh sách phát\n`$now` - Hiển thị bài hát đang phát\n`$remove <số>` - Xóa bài hát khỏi queue\n`$shuffle` - Xáo trộn queue\n`$volume [0-100]` - Điều chỉnh âm lượng\n`$leave` - Bot rời khỏi kênh voice', 'name': '🎵 Lệnh Audio/Voice', 'inline': False}, {'value': "Bot tự động xóa tin nhắn chứa 'cc' và cảnh báo người dùng", 'name': '⚙️ Lệnh quản lý', 'inline': False}], 'description': 'Dưới đây là tất cả các lệnh bạn có thể sử dụng:', 'color': 65280}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1411385877082538097', 'author': {'username': 'AI Chat', 'public_flags': 0, 'primary_guild': None, 'id': '1411384061993156658', 'global_name': None, 'display_name_styles': None, 'discriminator': '5884', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1411385875920584828'}}
[2025-08-31 12:56:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-31 12:56:33] [DEBUG   ] discord.client: Dispatching event message
[2025-08-31 12:56:33] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1411385877082538097/messages with {"embeds":[{"footer":{"text":"\u0110\u01b0\u1ee3c y\u00eau c\u1ea7u b\u1edfi atula8322","icon_url":"https://cdn.discordapp.com/avatars/610380548841668612/a_6d82a578cef1b525add43ad59f43d309.gif?size=1024"},"fields":[{"inline":false,"name":"\ud83d\udcdd L\u1ec7nh c\u01a1 b\u1ea3n","value":"`$hello` - Ch\u00e0o h\u1ecfi\n`$helps` - Hi\u1ec3n th\u1ecb danh s\u00e1ch l\u1ec7nh n\u00e0y"},{"inline":false,"name":"\ud83e\udd16 L\u1ec7nh AI","value":"`$start <c\u00e2u h\u1ecfi>` - H\u1ecfi AI"},{"inline":false,"name":"\ud83c\udfb5 L\u1ec7nh Audio/Voice","value":"`$play <URL>` - Ph\u00e1t nh\u1ea1c t\u1eeb YouTube\n`$search <t\u1eeb kh\u00f3a>` - T\u00ecm ki\u1ebfm v\u00e0 ph\u00e1t nh\u1ea1c\n`$audio` - Bot tham gia k\u00eanh tho\u1ea1i\n`$skip` - B\u1ecf qua b\u00e0i h\u00e1t hi\u1ec7n t\u1ea1i\n`$pause` - T\u1ea1m d\u1eebng b\u00e0i h\u00e1t\n`$resume` - Ti\u1ebfp t\u1ee5c ph\u00e1t b\u00e0i h\u00e1t\n`$stop` - D\u1eebng ph\u00e1t nh\u1ea1c v\u00e0 x\u00f3a queue\n`$queue` - Hi\u1ec3n th\u1ecb danh s\u00e1ch ph\u00e1t\n`$now` - Hi\u1ec3n th\u1ecb b\u00e0i h\u00e1t \u0111ang ph\u00e1t\n`$remove <s\u1ed1>` - X\u00f3a b\u00e0i h\u00e1t kh\u1ecfi queue\n`$shuffle` - X\u00e1o tr\u1ed9n queue\n`$volume [0-100]` - \u0110i\u1ec1u ch\u1ec9nh \u00e2m l\u01b0\u1ee3ng\n`$leave` - Bot r\u1eddi kh\u1ecfi k\u00eanh voice"},{"inline":false,"name":"\u2699\ufe0f L\u1ec7nh qu\u1ea3n l\u00fd","value":"Bot t\u1ef1 \u0111\u1ed9ng x\u00f3a tin nh\u1eafn ch\u1ee9a 'cc' v\u00e0 c\u1ea3nh b\u00e1o ng\u01b0\u1eddi d\u00f9ng"}],"flags":0,"color":65280,"type":"rich","description":"D\u01b0\u1edbi \u0111\u00e2y l\u00e0 t\u1ea5t c\u1ea3 c\u00e1c l\u1ec7nh b\u1ea1n c\u00f3 th\u1ec3 s\u1eed d\u1ee5ng:","title":"\ud83e\udd16 Danh s\u00e1ch l\u1ec7nh c\u1ee7a Bot"}],"content":null,"components":[],"nonce":"3558462271858111056","enforce_nonce":true,"tts":false} has returned 200
[2025-08-31 12:56:33] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-08-31 12:56:33] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1411385877082538097/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': '🤖 Danh sách lệnh của Bot', 'description': 'Dưới đây là tất cả các lệnh bạn có thể sử dụng:', 'color': 65280, 'fields': [{'name': '📝 Lệnh cơ bản', 'value': '`$hello` - Chào hỏi\n`$helps` - Hiển thị danh sách lệnh này', 'inline': False}, {'name': '🤖 Lệnh AI', 'value': '`$start <câu hỏi>` - Hỏi AI', 'inline': False}, {'name': '🎵 Lệnh Audio/Voice', 'value': '`$play <URL>` - Phát nhạc từ YouTube\n`$search <từ khóa>` - Tìm kiếm và phát nhạc\n`$audio` - Bot tham gia kênh thoại\n`$skip` - Bỏ qua bài hát hiện tại\n`$pause` - Tạm dừng bài hát\n`$resume` - Tiếp tục phát bài hát\n`$stop` - Dừng phát nhạc và xóa queue\n`$queue` - Hiển thị danh sách phát\n`$now` - Hiển thị bài hát đang phát\n`$remove <số>` - Xóa bài hát khỏi queue\n`$shuffle` - Xáo trộn queue\n`$volume [0-100]` - Điều chỉnh âm lượng\n`$leave` - Bot rời khỏi kênh voice', 'inline': False}, {'name': '⚙️ Lệnh quản lý', 'value': "Bot tự động xóa tin nhắn chứa 'cc' và cảnh báo người dùng", 'inline': False}], 'footer': {'text': 'Được yêu cầu bởi atula8322', 'icon_url': 'https://cdn.discordapp.com/avatars/610380548841668612/a_6d82a578cef1b525add43ad59f43d309.gif?size=1024', 'proxy_icon_url': 'https://images-ext-1.discordapp.net/external/zDf8V_s_u8j-mUSjnCakoC6YGPRcOeXiUMl7TILw3So/%3Fsize%3D1024/https/cdn.discordapp.com/avatars/610380548841668612/a_6d82a578cef1b525add43ad59f43d309.gif'}}], 'timestamp': '2025-08-31T05:56:33.370000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1411590466809495645', 'channel_id': '1411385877082538097', 'author': {'id': '1411384061993156658', 'username': 'AI Chat', 'avatar': None, 'discriminator': '5884', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '3558462271858111056'}
[2025-08-31 12:56:33] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-08-31 12:56:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 5, 'op': 0, 'd': {'user_id': '610380548841668612', 'timestamp': 1756619803, 'member': {'user': {'username': 'atula8322', 'public_flags': 0, 'primary_guild': {'tag': 'LOZ', 'identity_guild_id': '843809640592572416', 'identity_enabled': True, 'badge': '89b15f50a41eab81e0415f16a6ba46e3'}, 'id': '610380548841668612', 'global_name': 'Atula', 'display_name_styles': None, 'display_name': 'Atula', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1390436532988674091', 'expires_at': None, 'asset': 'a_5bda831ef9d78db54429b06e2ea268fa'}, 'avatar': 'a_6d82a578cef1b525add43ad59f43d309'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-30T16:23:35.241000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1411385877082538097', 'guild_id': '1411385875920584828'}}
[2025-08-31 12:56:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-31 12:56:42] [DEBUG   ] discord.client: Dispatching event typing
[2025-08-31 12:56:42] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-08-31 12:56:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-08-31T05:56:46.762000+00:00', 'pinned': False, 'nonce': '1411590520995577856', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-08-30T16:23:35.241000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1411590522979487854', 'flags': 0, 'embeds': [{'video': {'width': 1280, 'url': 'https://www.youtube.com/embed/m1FnfTfU8bQ', 'placeholder_version': 1, 'placeholder': '0HgGDISY5qdgeneEeXZocIQJVw==', 'height': 720, 'flags': 0}, 'url': 'https://www.youtube.com/watch?v=m1FnfTfU8bQ', 'type': 'video', 'title': 'NHẠC ĐÁM CƯỚI REMIX 2025 💘 Xin Má Rước Dâu, Thiệp ...', 'thumbnail': {'width': 1280, 'url': 'https://i.ytimg.com/vi/m1FnfTfU8bQ/maxresdefault.jpg', 'proxy_url': 'https://images-ext-1.discordapp.net/external/fA8L-rNw4mR7mZcPCzEOfOQ4RVcqhbDNKUoNd39zYos/https/i.ytimg.com/vi/m1FnfTfU8bQ/maxresdefault.jpg', 'placeholder_version': 1, 'placeholder': '0HgGDISY5qdgeneEeXZocIQJVw==', 'height': 720, 'flags': 0, 'content_type': 'image/jpeg'}, 'provider': {'url': 'https://www.youtube.com', 'name': 'YouTube'}, 'id': '1411590522979487855', 'description': '🎧 NHẠC ĐÁM CƯỚI REMIX 2025 💘 Xin Má Rước Dâu, Thiệp Hồng - Tuyển Tập Nhạc Đám Cưới Hay Nhất 2025\n\n#rinmusic #nhacdamcuoi #nhacdamcuoiremix \n\n► Đăng ký kênh: https://s.rin.media/y-rinmusic\n► Fanpage: https://s.rin.media/f-rinmusic\n► Instagram: https://s.rin.media/i-rinmusic\n► TikTok: https://s.rin.me...', 'color': 16711680, 'author': {'url': 'https://www.youtube.com/channel/UC5xi7kLHCZE6Osk5hPA2lHQ', 'name': 'RIN Music'}}], 'edited_timestamp': None, 'content': '$play https://www.youtube.com/watch?v=m1FnfTfU8bQ&list=RDm1FnfTfU8bQ&start_radio=1&pp=oAcB', 'components': [], 'channel_type': 0, 'channel_id': '1411385877082538097', 'author': {'username': 'atula8322', 'public_flags': 0, 'primary_guild': {'tag': 'LOZ', 'identity_guild_id': '843809640592572416', 'identity_enabled': True, 'badge': '89b15f50a41eab81e0415f16a6ba46e3'}, 'id': '610380548841668612', 'global_name': 'Atula', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'LOZ', 'identity_guild_id': '843809640592572416', 'identity_enabled': True, 'badge': '89b15f50a41eab81e0415f16a6ba46e3'}, 'avatar_decoration_data': {'sku_id': '1390436532988674091', 'expires_at': None, 'asset': 'a_5bda831ef9d78db54429b06e2ea268fa'}, 'avatar': 'a_6d82a578cef1b525add43ad59f43d309'}, 'attachments': [], 'guild_id': '1411385875920584828'}}
[2025-08-31 12:56:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-31 12:56:46] [DEBUG   ] discord.client: Dispatching event message
[2025-08-31 12:56:46] [DEBUG   ] discord.client: Dispatching event command
[2025-08-31 12:56:46] [INFO    ] discord.voice_state: Connecting to voice...
[2025-08-31 12:56:46] [INFO    ] discord.voice_state: Starting voice handshake... (connection attempt 1)
[2025-08-31 12:56:46] [DEBUG   ] discord.gateway: Updating our voice state to {'op': 4, 'd': {'guild_id': 1411385875920584828, 'channel_id': 1411385877082538098, 'self_mute': False, 'self_deaf': False}}.
[2025-08-31 12:56:46] [DEBUG   ] discord.voice_state: Connection state changed to set_guild_voice_state
